SPECIESNAME,YEAR,AREA,REGION,COUNT
American Coot,1953,1,nh,0
American Coot,1953,11,nh,0
American Coot,1953,16,nh,400
American Coot,1953,21,nh,0
American Coot,1953,31,ch,1800
American Coot,1953,32,ch,0
American Coot,1953,33,ch,18420
American Coot,1953,36,ch,29500
American Coot,1953,41,ch,0
American Coot,1953,43,ch,3500
American Coot,1953,45,ch,850
American Coot,1953,46,ch,1650
American Coot,1953,47,ch,1850
American Coot,1953,48,ch,0
American Coot,1953,49,ch,0
American Coot,1953,50,ch,1250
American Coot,1953,51,ch,0
American Coot,1953,52,ch,2500
American Coot,1953,52a,ch,0
American Coot,1953,6,nh,0
American Coot,1953,60,lw,0
American Coot,1953,60a,oh,0
American Coot,1953,61,lw,2700
American Coot,1953,62,lw,2100
American Coot,1953,63,lw,3000
American Coot,1953,64,lw,600
American Coot,1953,65,ec,0
American Coot,1953,66,ec,25200
American Coot,1953,67,ec,35800
American Coot,1953,68,ec,1100
American Coot,1953,69,ec,52700
American Coot,1953,70,ec,28550
American Coot,1953,71,ec,320500
American Coot,1953,72,uw,0
American Coot,1953,74,uw,1125
American Coot,1953,79,uw,7100
American Coot,1953,84,uw,900
American Coot,1953,86,uw,9900
American Coot,1953,87,uw,0
American Coot,1953,88,uw,0
American Coot,1954,11,nh,30
American Coot,1954,16,nh,5920
American Coot,1954,21,nh,10
American Coot,1954,31,ch,275
American Coot,1954,32,ch,25
American Coot,1954,33,ch,0
American Coot,1954,36,ch,15390
American Coot,1954,41,ch,665
American Coot,1954,43,ch,300
American Coot,1954,44,ch,105
American Coot,1954,45,ch,1150
American Coot,1954,46,ch,1525
American Coot,1954,47,ch,375
American Coot,1954,48,ch,0
American Coot,1954,49,ch,50
American Coot,1954,50,ch,400
American Coot,1954,51,ch,0
American Coot,1954,52,ch,100
American Coot,1954,54,lw,1200
American Coot,1954,60,lw,0
American Coot,1954,60a,oh,3200
American Coot,1954,61,lw,50
American Coot,1954,61a,oh,700
American Coot,1954,62,lw,0
American Coot,1954,63,lw,3000
American Coot,1954,64,lw,1500
American Coot,1954,65,ec,0
American Coot,1954,66,ec,5700
American Coot,1954,67,ec,60400
American Coot,1954,68,ec,73500
American Coot,1954,69,ec,311004
American Coot,1954,70,ec,74040
American Coot,1954,71,ec,588700
American Coot,1954,74,uw,0
American Coot,1954,78,uw,0
American Coot,1954,79,uw,35
American Coot,1954,81,uw,250
American Coot,1954,82,uw,305
American Coot,1954,83,uw,1100
American Coot,1954,84,uw,43850
American Coot,1954,85,uw,16003
American Coot,1954,86,uw,1200
American Coot,1954,88,uw,0
American Coot,1954,89,uw,0
American Coot,1954,90,uw,0
American Coot,1955,11,nh,0
American Coot,1955,14,nh,0
American Coot,1955,16,nh,1470
American Coot,1955,21,nh,100
American Coot,1955,31,ch,2500
American Coot,1955,32,ch,0
American Coot,1955,33,ch,0
American Coot,1955,36,ch,4905
American Coot,1955,41,ch,0
American Coot,1955,43,ch,660
American Coot,1955,44,ch,290
American Coot,1955,45,ch,900
American Coot,1955,46,ch,4630
American Coot,1955,47,ch,850
American Coot,1955,48,ch,100
American Coot,1955,49,ch,310
American Coot,1955,50,ch,200
American Coot,1955,51,ch,400
American Coot,1955,52,ch,225
American Coot,1955,6,nh,0
American Coot,1955,60a,oh,6800
American Coot,1955,61,lw,0
American Coot,1955,62,lw,0
American Coot,1955,63,lw,4600
American Coot,1955,64,lw,5600
American Coot,1955,65,ec,17300
American Coot,1955,66,ec,4100
American Coot,1955,67,ec,113000
American Coot,1955,68,ec,46000
American Coot,1955,69,ec,23600
American Coot,1955,70,ec,98765
American Coot,1955,71,ec,181600
American Coot,1955,74,uw,0
American Coot,1955,78,uw,0
American Coot,1955,79,uw,0
American Coot,1955,81,uw,0
American Coot,1955,82,uw,2100
American Coot,1955,83,uw,1475
American Coot,1955,84,uw,31710
